@relation data
@attribute V1 {'1','2','3','4'}
@attribute V2 numeric
@attribute V3 {'1','2','3','4','5'}
@attribute V4 {'1','2','3','4','5','6','7','8','9','10'}
@attribute V5 numeric
@attribute V6 {'1','2','3','4','5'}
@attribute V7 {'1','2','3','4','5'}
@attribute V8 numeric
@attribute V9 {'1','2','3','4'}
@attribute V10 {'1','2','3'}
@attribute V11 numeric
@attribute V12 {'1','2','3','4'}
@attribute V13 numeric
@attribute V14 {'1','2','3'}
@attribute V15 {'1','2','3'}
@attribute V16 numeric
@attribute V17 {'1','2','3','4'}
@attribute V18 numeric
@attribute V19 {'1','2'}
@attribute V20 {'1','2'}
@attribute Class {'1','2'}
@data
'1',-1.23585946681463,'5','8',-0.744758754492377,'5','5',0.918017814176768,'3','1',1.04646305414177,'1',2.76507291058005,'3','2',1.02656524375288,'3',-0.428075368025374,'2','1','1'
'2',2.24706998404858,'3','8',0.949341762181859,'1','3',-0.869748133587141,'2','1',-0.765594182467357,'1',-1.19080808948678,'3','2',-0.704573447230056,'3',-0.428075368025374,'1','1','2'
'4',-0.738298116691311,'5','2',-0.416354074660295,'1','4',-0.869748133587141,'3','1',0.140434435837208,'1',1.18272051055332,'3','2',-0.704573447230056,'2',2.33370119988026,'1','1','1'
'1',1.74950863392526,'3','7',1.63342961197231,'1','4',-0.869748133587141,'3','3',1.04646305414177,'2',0.831086643880708,'3','3',-0.704573447230056,'3',2.33370119988026,'1','1','1'
'1',0.256824583555317,'4','1',0.566380102097198,'1','3',0.0241348402948131,'3','1',1.04646305414177,'4',1.53435437722592,'3','3',1.02656524375288,'3',2.33370119988026,'1','1','2'
'4',1.25194728380195,'3','2',2.04898375376631,'5','3',-0.869748133587141,'3','1',1.04646305414177,'4',-0.0479980228008113,'3','3',-0.704573447230056,'2',2.33370119988026,'2','1','1'
'4',0.256824583555317,'3','7',-0.154551422669023,'3','5',0.0241348402948131,'3','1',1.04646305414177,'2',1.53435437722592,'3','2',-0.704573447230056,'3',-0.428075368025374,'1','1','1'
'2',1.25194728380195,'3','5',1.30254506940148,'1','3',-0.869748133587141,'3','1',-0.765594182467357,'3',-0.0479980228008113,'3','1',-0.704573447230056,'4',-0.428075368025374,'2','1','1'
'4',-0.738298116691311,'3','8',-0.0751958150289084,'4','4',-0.869748133587141,'1','1',1.04646305414177,'1',2.23762211057114,'3','2',-0.704573447230056,'2',-0.428075368025374,'1','1','1'
'2',0.754385933678631,'5','1',0.695332964512385,'1','1',0.918017814176768,'4','1',-0.765594182467357,'3',-0.663357289477875,'3','2',1.02656524375288,'4',-0.428075368025374,'1','1','2'
'2',-0.738298116691311,'3','1',-0.700121225194812,'1','2',0.0241348402948131,'2','1',-1.67162280077192,'3',-0.92708268948233,'3','1',-0.704573447230056,'3',-0.428075368025374,'1','1','2'
'1',2.24706998404858,'3','4',0.367282550785839,'1','2',0.0241348402948131,'2','1',1.04646305414177,'2',-1.01499115615048,'3','1',-0.704573447230056,'3',-0.428075368025374,'1','1','2'
'2',-0.738298116691311,'3','8',-0.603760844488958,'1','3',-1.7636311074691,'2','1',-1.67162280077192,'3',-1.19080808948678,'3','2',-0.704573447230056,'3',-0.428075368025374,'2','1','1'
'1',0.256824583555317,'5','1',-0.73413077132629,'1','5',0.918017814176768,'3','1',1.04646305414177,'3',2.14971364390299,'3','2',1.02656524375288,'2',-0.428075368025374,'1','1','2'
'1',-0.489517441629654,'3','1',-0.6618604857969,'1','3',-0.869748133587141,'2','1',1.04646305414177,'3',-0.663357289477875,'3','1',-0.704573447230056,'3',-0.428075368025374,'1','1','1'
'1',0.256824583555317,'3','8',-0.704726684566783,'2','3',0.918017814176768,'2','1',-0.765594182467357,'3',-0.311723422805266,'3','2',-0.704573447230056,'2',-0.428075368025374,'1','1','2'
'4',0.256824583555317,'5','8',-0.300154792044412,'5','5',0.918017814176768,'3','1',1.04646305414177,'2',1.53435437722592,'3','2',1.02656524375288,'3',-0.428075368025374,'1','1','1'
'1',0.754385933678631,'1','4',1.7007401720242,'5','2',-0.869748133587141,'3','1',0.140434435837208,'3',-0.92708268948233,'1','2',2.75770393473582,'3',-0.428075368025374,'1','1','1'
'2',0.256824583555317,'3','5',3.29741750967597,'1','5',0.918017814176768,'2','1',-0.765594182467357,'4',0.743178177212556,'3','3',-0.704573447230056,'4',-0.428075368025374,'2','1','2'
'4',0.256824583555317,'3','8',0.0562369101250316,'3','5',0.0241348402948131,'3','1',-0.765594182467357,'3',-0.399631889473418,'3','2',-0.704573447230056,'3',2.33370119988026,'2','1','1'
'4',-0.987078791752968,'5','1',-0.402891962649918,'1','3',0.918017814176768,'3','1',1.04646305414177,'3',1.09481204388516,'3','2',2.75770393473582,'3',-0.428075368025374,'2','1','1'
'1',-1.23585946681463,'3','8',-0.221153450509834,'3','3',-0.869748133587141,'3','1',0.140434435837208,'1',0.743178177212556,'3','1',-0.704573447230056,'3',2.33370119988026,'1','1','1'
'1',-0.904151900065749,'5','1',-0.364985489357542,'1','2',-1.7636311074691,'3','1',0.140434435837208,'1',1.09481204388516,'3','1',1.02656524375288,'2',2.33370119988026,'1','2','1'
'2',-0.738298116691311,'5','5',-0.519799777476873,'2','2',0.0241348402948131,'3','1',1.04646305414177,'2',0.743178177212556,'3','2',-0.704573447230056,'3',-0.428075368025374,'1','1','1'
'4',-0.904151900065749,'5','7',-0.425919259509773,'5','3',-0.869748133587141,'4','1',-1.67162280077192,'3',-0.839174222814179,'3','2',1.02656524375288,'3',-0.428075368025374,'1','2','1'
'1',-1.23585946681463,'3','7',-0.67213420285745,'1','3',-1.7636311074691,'3','1',-0.765594182467357,'1',0.0399104438673406,'1','2',-0.704573447230056,'2',-0.428075368025374,'2','1','1'
'4',-1.23585946681463,'1','8',-1.00797847090579,'1','5',0.918017814176768,'4','1',1.04646305414177,'3',0.303635843871797,'3','2',-0.704573447230056,'2',-0.428075368025374,'1','1','1'
'3',-0.738298116691311,'2','8',-1.01400099469991,'4','3',0.0241348402948131,'2','1',0.140434435837208,'1',0.567361243876252,'3','1',1.02656524375288,'3',-0.428075368025374,'1','1','1'
'2',-1.15293257512741,'3','8',-0.303343186994238,'1','3',0.0241348402948131,'3','3',-0.765594182467357,'1',-0.135906489468963,'3','2',-0.704573447230056,'3',-0.428075368025374,'1','1','1'
'1',3.24219268429521,'4','4',1.26286726558142,'1','5',0.0241348402948131,'3','1',1.04646305414177,'4',2.41343904390744,'3','2',1.02656524375288,'3',-0.428075368025374,'2','1','2'
